Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski,Scaffold
C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3C(Cc4c[nH]c5ccccc45)NC(=O)[C@]32C2=N[C@@H](CC2)C1=O,6.106029999999998,6.246589957010581,6.176309978505289,1,O=C1C=CCCC=CC2C3OC3CC3C(Cc4c[nH]c5ccccc45)NC(=O)C23C2=NC1CC2
CC(C)C[C@H]1NC(=O)[C@@H]2C[C@]3([C@]45C[C@H]6C(=O)N[C@H](CC(C)C)C(=O)N6[C@H]4Nc4ccccc45)c4ccccc4N[C@@H]3N2C1=O,6.252891111111112,6.099252761904762,6.176071936507937,1,O=C1NCC(=O)N2C1CC1(C34CC5C(=O)NCC(=O)N5C3Nc3ccccc34)c3ccccc3NC21
COc1c(Br)cc(C/C(=N\O)C(=O)NCCc2c[nH]c(N)n2)c(O)c1Br,6.308646666666662,6.0407715873015855,6.174709126984124,0,N=C(Cc1ccccc1)C(=O)NCCc1c[nH]cn1
N#CC(=O)NCCCOc1c(Br)cc(CCNC=C2C(=O)CCC2=O)cc1Br,6.287568888888885,6.061842330447332,6.174705609668109,1,O=C1CCC(=O)C1=CNCCc1ccccc1
COC(=O)C(Cc1c(SC)n(C)c[n+]1C)NC(=O)c1c[nH]c2cc(Br)ccc12,6.299955555555567,6.048982212301589,6.1744688839285775,0,O=C(NCCc1c[nH]c[nH+]1)c1c[nH]c2ccccc12
CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCC(=O)N[C@@H]1CNC(=O)N(C)C1=O,6.010805555555554,6.337381369047613,6.174093462301583,0,O=C1CCNC(=O)N1
CC(=O)N[C@H]1[C@H](O[C@H]2C[C@H]([C@H](C)CCC[C@@H](C)COC(C)=O)[C@@]3(C)CCC4[C@@H](CC[C@H]5C[C@H](O)CC[C@]45C)C23)O[C@H](CO)[C@@H](O)[C@@H]1O,6.2426444444444416,6.105362718253965,6.174003581349203,1,C1CCC(OC2CCC3CCC4C5CCCCC5CCC4C32)OC1
COc1cc(CCNC(=O)[C@@H]2CCCN2C)c(Br)c(Br)c1Br,6.324302222222221,6.022327073412697,6.17331464781746,0,O=C(NCCc1ccccc1)C1CCCN1
CC(C)=CCC[C@@](C)(O)[C@@H](O)CC/C(C)=C/COC[C@H]1O[C@@H](N2CCC(=O)NC2=O)[C@H](O)[C@@H]1O,6.101416666666666,6.244070416666664,6.172743541666665,0,O=C1CCN(C2CCCO2)C(=O)N1
C[S@@+]([O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(=O)c2c[nH]c3cc(Br)c(O)cc23)[C@@H]1O,6.137802222222219,6.207523075396822,6.172662648809521,1,O=C(OC1CCOC1n1cnc2cncnc21)c1c[nH]c2ccccc12
