Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones
C[C@@H]1NC(=O)[C@@H](C)C/C(CO)=C/[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C1=O,6.496005555555557,6.424829371693118,6.460417463624338
CCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@@H](O)[C@@H](CO)OC)O3)[C@H]2O)[C@H](O)[C@H]1O)C(O)/C=C/CCCCCCCCCCC(C)C,6.459655555555557,6.4600074999999935,6.459831527777775
COC(=O)[C@@H](CSC)N(C)C(=O)[C@H](CSC)N(C)C(=O)CNC(=O)[C@@H](CSC)NC(=O)c1nc2ccccc2cc1O,6.378638888888891,6.538632291666666,6.458635590277778
COC(=O)[C@H](CSC)N(C)C(=O)[C@H](CSC)N(C)C(=O)CNC(=O)[C@@H](CSC)NC(=O)c1nc2ccccc2cc1O,6.378638888888891,6.538632291666666,6.458635590277778
CCOc1ccc(/C=C/C=C/C[C@H](O)[C@@H](O)[C@H]2NC(=O)C[C@@H](O)CNC(=O)CNC(=O)[C@@H](Cc3c(C(=O)O)[nH]c4ccccc34)NC(=O)CN(C)C(=O)/C=C3/NC(=O)C[C@H]3NC(=O)[C@H]2O)cc1,6.331616666666666,6.576168492063491,6.453892579365078
CN[C@@H](Cc1ccc(OC)c(Br)c1)C(=O)NCCc1cc(Br)c(OCCCN(C)C)c(Br)c1,6.5544677777777745,6.351861717171715,6.4531647474747444
CN[C@@H](COC)[C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1,6.33772777777778,6.567295522486768,6.452511650132275
CN[C@@H](COC)[C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1,6.33772777777778,6.567295522486768,6.452511650132275
C#CCCCC1NC(=O)[C@H]([C@H](C)CC)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](COC)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC(=O)C1C,6.454033333333331,6.442800085978834,6.448416709656082
CC[C@H](C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C(C)C)[C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O[C@H](CO)Cc1ccccc1)OC)C(C)C)N(C)C,6.438533333333338,6.454652539682538,6.446592936507939
CC(=O)N1CCCCC1C(=O)NC(C)(C)C(=O)N1CCCCC1C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NCCC(=O)NCC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N1CCCCC1C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CC(C)C)CN1CCC[N+]2=C1CCC2,6.448416666666666,6.443799738756614,6.44610820271164
CC[C@H](C)[C@@H](C(=O)O[C@@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC)C(C)C)C(C)C)N(C)C,6.471327777777775,6.420235376984127,6.445781577380951
CC[C@@H](C)[C@H](C(=O)O[C@@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)[C@H](O)CC(=O)N[C@H](C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC)C(C)C)C(C)C)N(C)C,6.471327777777775,6.420235376984127,6.445781577380951
