Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCc1cc(Br)c(OCC[C@@H](C(=O)[O-])[N+](C)(C)C)c(Br)c1)=NO2,6.574157777777778,6.150851772486769,6.362504775132273,1
C/C1=C\[C@H](C)C[C@H](C)OC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccc(O)c(Br)c2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](C)C1,6.41094666666667,6.3115333333333306,6.36124,1
COc1c(Br)cc(O)c(O)c1C=O,6.376265555555556,6.345430975829727,6.360848265692642,0
CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](/C=C(\C)C(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,6.6216944444444445,6.098659570105815,6.36017700727513,1
CCC(=O)N(C)CCc1ccc(OCCCNC(=O)Cc2ccc(O)cc2)c(I)c1,6.2983555555555535,6.42019743145743,6.359276493506492,1
CCCCCCC[C@@H](C/C=C/CCC(=O)NC/C(=C\Cl)C/C(=C\C(=O)N1C(=O)C=C(OC)[C@@H]1CO)OC)OC,6.414994444444447,6.303246964285711,6.359120704365079,1
CCCCCCC[C@@H](C/C=C/CCC(=O)NC/C(=C\Cl)C/C(=C\C(=O)N1C(=O)C=C(OC)[C@H]1CO)OC)OC,6.414994444444447,6.303246964285711,6.359120704365079,1
CNCCc1cc(Br)c(OCCCNC=C2C(=O)[C@@H]3[C@H](C2=O)[C@H]2C(O)[C@@H]3C(=O)[C@H]2Br)c(Br)c1,6.481007777777774,6.2357977380952345,6.358402757936505,1
CNCCc1cc(Br)c(OCCCNC(=O)C2=CO[C@@]3(CC(Br)=C(OC)C(Br)=CO3)[C@H]2O)c(Br)c1,6.605457777777779,6.110962886904761,6.358210332341271,1
C/C1=C/[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)[C@H]1O,6.3889000000000005,6.324282962962956,6.356591481481479,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CCNC=O)cc1Br)=NO2,6.539829999999998,6.169133300264548,6.354481650132273,1
CC[C@H](C)[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](Cc2ccc(OC)cc2)C(=O)N[C@@H](C)C(=O)N1C,6.511527777777777,6.194940505952384,6.35323414186508,1
COC(=O)c1ccccc1NC(=O)[C@H](CC[S+](C)[O-])NC(=O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,6.155872222222227,6.549143253968257,6.352507738095242,1
CCC[C@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H]1C,6.332329999999999,6.371551934523805,6.351940967261902,1
CCC[C@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H]1C,6.332329999999999,6.371551934523805,6.351940967261902,1
C=C1C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](CC2(OC)OC(=O)Nc3ccccc32)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)C1=O,6.461422222222228,6.235955456349201,6.348688839285714,1
CSCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CCSC)NC(=O)c2csc(n2)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,6.423505555555556,6.27260723214286,6.348056393849208,1
C[N+](C)(C)C[C@H](c1c[nH]c2cc(Br)ccc12)c1c(O)c(NC(=O)CS(=O)(=O)[O-])c2c3c(nccc13)C=CN2,6.35618888888889,6.336211091269839,6.346199990079365,1
C[N+](C)(C)C[C@@H](c1c[nH]c2cc(Br)ccc12)c1c(O)c(NC(=O)CS(=O)(=O)[O-])c2c3c(nccc13)C=CN2,6.35618888888889,6.336211091269839,6.346199990079365,1
COC1(CC2C(=O)N[C@@H](c3ccc(O)cc3)CC(=O)O[C@@H](C)C[C@@H](C)/C=C(\C)C[C@H](C)C(=O)N[C@@H](C)C(=O)N2C)OC(=O)Nc2ccccc21,6.456411111111119,6.235955456349201,6.346183283730159,1
COC1(C[C@@H]2C(=O)N[C@@H](c3ccc(O)cc3)CC(=O)O[C@@H](C)C[C@@H](C)/C=C(\C)C[C@H](C)C(=O)N[C@@H](C)C(=O)N2C)OC(=O)Nc2ccccc21,6.456411111111119,6.235955456349201,6.346183283730159,1
CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N1C,6.446935555555556,6.244447119708995,6.345691337632275,1
CCC(=O)N(C)CCc1ccc(OCCCNC(=O)Cc2ccc(O)cc2)c(Br)c1,6.270211111111111,6.42019743145743,6.3452042712842704,0
