Smiles,MACCS_36,MACCS_38,MACCS_42,MACCS_50,MACCS_57,MACCS_62,MACCS_65,MACCS_72,MACCS_75,MACCS_79,MACCS_80,MACCS_83,MACCS_86,MACCS_87,MACCS_89,MACCS_90,MACCS_92,MACCS_93,MACCS_95,MACCS_97,MACCS_98,MACCS_99,MACCS_101,MACCS_103,MACCS_104,MACCS_108,MACCS_109,MACCS_111,MACCS_113,MACCS_115,MACCS_116,MACCS_120,MACCS_126,MACCS_128,MACCS_129,MACCS_131,MACCS_132,MACCS_133,MACCS_136,MACCS_139,MACCS_140,MACCS_142,MACCS_146,MACCS_149,MACCS_150,MACCS_151,MACCS_155,MACCS_159,MACCS_160
O=C1C2=C(C3=NCCc4c[nH]c1c43)[C@]13C=C(Br)[C@@H](O)C=C1S[C@@H](C3)N2,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
Oc1ccc2cc1-c1cc(ccc1O)CC(O)/C=C\C=C\C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
C=C(CC[C@@H](C)[C@H]1C[C@@H](O)C2[C@@H]3C[C@H](O)C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)CO[C@@H]1OC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O.[Na+],0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
C=C1CC2OC([C@@H]3[C@@H](C(C)C)[C@H](OC(=O)CCC)[C@@H](OC(C)=O)[C@@](C)(O)[C@H]23)[C@](C)(OC(=O)CCC)[C@H](O)C[C@@H]1O,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
COc1c(C)cc(O)cc1C/C=C(\C)CC(=O)/C=C(\C)C(O)CCC(C)(O)C(=O)/C=C/C(C)(C)O,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
Cc1cc(C)cc(Oc2c(C)c(C)c3c(c2C)CCC(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O)O3)c1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1
CC(=O)O[C@H]1CC[C@]2(CO2)[C@@H]2[C@H](OC(C)=O)[C@@]34O[C@@](CO)([C@H](Cl)[C@@H]3OC(=O)[C@@H]4C)[C@@H]3O[C@H]3[C@H](OC(C)=O)[C@@]12C,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
COc1cc(CC(=O)NCCCCNC(=O)CC(=O)NCCC(=O)c2ccccc2NC=O)ccc1O,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
CCCCCCC[C@@H](C/C=C/CCC(=O)N(C)C/C(=C/Cl)C1=CC[C@H](O)[C@H](C)C1=O)OC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
